sourcedId,status,dateLastModified,schoolYearSourcedId,title,courseCode,grades,orgSourcedId,subjects,subjectCodes
0015413,,,,WLD HIST HONORS,0015413,,024901001,,
0015419,,,,WLD HLTH RESECH,0015419,,024901001,,
0015420,,,,USHIST1301,0015420,,024901001,,
0015421,,,,USHIST1302,0015421,,024901001,,
0015422,,,,US HIST 1301,0015422,,024901001,,
0015423,,,,US HIST 1302,0015423,,024901001,,
0015424,,,,US HIST 1301,0015424,,024901001,,
0015425,,,,US HSIT 1302,0015425,,024901001,,
0015426,,,,US GOVT 2305,0015426,,024901001,,
0015427,,,,TX GOVT 2306,0015427,,024901001,,
0015428,,,,USHIST 1301 ,0015428,,024901001,,
0015429,,,,PSYC 2314,0015429,,024901001,,
0015430,,,,PHIL 1301,0015430,,024901001,,
0015431,,,,HUMA 1301,0015431,,024901001,,
0015432,,,,BIOL 2306,0015432,,024901001,,
0015433,,,,SOCI 2301,0015433,,024901001,,
0015434,,,,Money Matters,0015434,,024901001,,
0015435,,,,SPEECH 1315,0015435,,024901001,,
0015436,,,,COMS 1311,0015436,,024901001,,
0015438,,,,GOVT 2305,0015438,,024901001,,
0015439,,,,CRIJ 2328,0015439,,024901001,,
0015501,,,,ART 1,0015501,,024901001,,
0015502,,,,ART 2,0015502,,024901001,,
0015503,,,,ART 3,0015503,,024901001,,
0015504,,,,ART 4,0015504,,024901001,,
0015505,,,,THEATRE ART 1,0015505,,024901001,,
0015506,,,,THEATRE ART 2,0015506,,024901001,,
0015507,,,,THEATRE ART 3,0015507,,024901001,,
0015508,,,,THEATRE ART 4,0015508,,024901001,,
0015509,,,,BAND 1,0015509,,024901001,,
0015510,,,,BAND 2,0015510,,024901001,,
0015511,,,,BAND 3,0015511,,024901001,,
0015512,,,,BAND 4,0015512,,024901001,,
0015513,,,,MUS MARIACHI 1,0015513,,024901001,,
0015514,,,,MUS MARIACHI 2,0015514,,024901001,,
0015515,,,,MUS MARIACHI 3,0015515,,024901001,,
0015516,,,,MUS MARIACHI 4,0015516,,024901001,,
0015518,,,,CHOIR 1,0015518,,024901001,,
0015519,,,,SOLO ENSEMBLE 1,0015519,,024901001,,
0015520,,,,ART 1301,0015520,,024901001,,
0015521,,,,ARTS 1303,0015521,,024901001,,
0015600,,,,ADAPTIVE PE,0015600,,024901001,,
0015601,,,,F OF PER FITNES,0015601,,024901001,,
0015602,,,,IND/TEAM SPORT,0015602,,024901001,,
0015603,,,,PE SUB MAR BAND,0015603,,024901001,,
0015604,,,,AEROBIC ACTIVIT,0015604,,024901001,,
0015605,,,,PE SUB JROTC1,0015605,,024901001,,
0015606,,,,ATHLETICS 1 B,0015606,,024901001,,
0015607,,,,ATHLETICS 2 B,0015607,,024901001,,
0015608,,,,ATHLETICS 3 B,0015608,,024901001,,
0015609,,,,ATHLETICS 4 B,0015609,,024901001,,
0015610,,,,ATHLETICS 1 G,0015610,,024901001,,
0015611,,,,ATHLETICS 2 G,0015611,,024901001,,
0015612,,,,ATHLETICS 3 G,0015612,,024901001,,
0015613,,,,ATHLETICS 4 G,0015613,,024901001,,
0015614,,,,KINE 1346,0015614,,024901001,,
0015697,,,,BUSI 1301,0015697,,024901001,,
0015698,,,,HPRS 1201,0015698,,024901001,,
0015699,,,,PLAB1023,0015699,,024901001,,
0015700,,,,ECRD 1011,0015700,,024901001,,
0015701,,,,Health,0015701,,024901001,,
0015702,,,,COLLEGEPREP ELA,0015702,,024901001,,
0015703,,,,COLLEGEPREP MTH,0015703,,024901001,,
0015704,,,,FLORAL DESIGN,0015704,,024901001,,
0015705,,,,ADV JOUN YRB 1,0015705,,024901001,,
0015706,,,,ADV JOUN YRB2,0015706,,024901001,,
0015708,,,,JOURNALISM,0015708,,024901001,,
0015709,,,,COLLEGE RSS,0015709,,024901001,,
0015710,,,,COLLEGE TRAVEL,0015710,,024901001,,
0015711,,,,CRSS EDUC 1300,0015711,,024901001,,
0015712,,,,PSYCHOLOGY 2301,0015712,,024901001,,
0015713,,,,SOCIOLOGY 1301,0015713,,024901001,,
0015720,,,,HPRS 2302,0015720,,024901001,,
0015721,,,,PSYCH 2301 ,0015721,,024901001,,
0015722,,,,JOURNALISM NP1,0015722,,024901001,,
0015723,,,,JOURNALISM NP2,0015723,,024901001,,
0015724,,,,PRIN OF APP ENG,0015724,,024901001,,
0015725,,,,DIGITAL MEDIA,0015725,,024901001,,
0015726,,,,GRAPHIC DESIGN,0015726,,024901001,,
0015730,,,,INTRO HLTH PROF,0015730,,024901001,,
0015732,,,,H SCI-NURA1301,0015732,,024901001,,
0015733,,,,CLINIC-NURA1160,0015733,,024901001,,
0015734,,,,EDUC 1301,0015734,,024901001,,
0015735,,,,H SCI-NURA1301,0015735,,024901001,,
0015736,,,,CLINIC-NURA1160,0015736,,024901001,,
0015738,,,,ROTC 3,0015738,,024901001,,
0015739,,,,ROTC2,0015739,,024901001,,
0015740,,,,ROTC1,0015740,,024901001,,
0015741,,,,MED BIO TEC,0015741,,024901001,,
0015742,,,,PHARMACOLOGY,0015742,,024901001,,
0015800,,,,SPCH 1315,0015800,,024901001,,
0015801,,,,PRIN OF AFNR,0015801,,024901001,,
0015802,,,,LIVESTOCK PROD,0015802,,024901001,,
0015803,,,,VET MED APP,0015803,,024901001,,
0015804,,,,ADV ANIMIAL SCI,0015804,,024901001,,
0015805,,,,CERT MED ASST,0015805,,024901001,,
0015806,,,,PATCARETECH,0015806,,024901001,,
0015807,,,,TECA 1311,0015807,,024901001,,
0015808,,,,CDEC 1359,0015808,,024901001,,
0015809,,,,CDEC 1313,0015809,,024901001,,
0015810,,,,PRIN OF EDTR,0015810,,024901001,,
0015811,,,,PRIN OF HUM SER,0015811,,024901001,,
0015812,,,,DOLLARS&SENSE,0015812,,024901001,,
0015813,,,,5815,0015813,,024901001,,
0015814,,,,CDEC 1356,0015814,,024901001,,
0015815,,,,CHILD GUID,0015815,,024901001,,
0015816,,,,CDEC 1358,0015816,,024901001,,
0015817,,,,CDEC 1321,0015817,,024901001,,
0015818,,,,CHOIR 1,0015818,,024901001,,
0015819,,,,VNSG 1227,0015819,,024901001,,
0015820,,,,ENTREPRENEURSHI,0015820,,024901001,,
0015821,,,,PRIN OF BMF,0015821,,024901001,,
0015822,,,,TOUCH SDATAE,0015822,,024901001,,
0015823,,,,BUSIM1,0015823,,024901001,,
0015824,,,,BUS INFO MGT 2,0015824,,024901001,,
0015825,,,,BCIS 1305,0015825,,024901001,,
0015826,,,,CAREER PREP 1,0015826,,024901001,,
0015827,,,,WLD2406 LEC/LAB,0015827,,024901001,,
0015828,,,,WLD2453 LEC/LAB,0015828,,024901001,,
0015829,,,,AG MECH,0015829,,024901001,,
0015830,,,,INTRO WLDG 1557,0015830,,024901001,,
0015831,,,,PRIN OF MANUF,0015831,,024901001,,
0015832,,,,WLD1407,0015832,,024901001,,
0015833,,,,WLDG 1407 ,0015833,,024901001,,
0015834,,,,WLDG 1521,0015834,,024901001,,
0015835,,,,WLDG 1521 LAB,0015835,,024901001,,
0015836,,,,WLDG 1557,0015836,,024901001,,
0015837,,,,WLDG 1434,0015837,,024901001,,
0015838,,,,WLDG 1435,0015838,,024901001,,
0015839,,,,IPWLDG 1435 LAB,0015839,,024901001,,
0015840,,,,WLDG 2406,0015840,,024901001,,
0015841,,,,PRIN LPCS,0015841,,024901001,,
0015842,,,,LAW ENFOR 1,0015842,,024901001,,
0015843,,,,COURT SYS PRAC,0015843,,024901001,,
0015844,,,,LAW ENF 2,0015844,,024901001,,
0015845,,,,PREM2 GMAW1430,0015845,,024901001,,
0015846,,,,CJSA 1322,0015846,,024901001,,
0015848,,,,CJSA 1313,0015848,,024901001,,
0015849,,,,WLDG 1 2406,0015849,,024901001,,
0015850,,,,ELECTRIC TECH I,0015850,,024901001,,
0015851,,,,ELECTRIC TECH 2,0015851,,024901001,,
0015852,,,,5141,0015852,,024901001,,
0015853,,,,WLD 2451,0015853,,024901001,,
0015854,,,,Build Main Tech,0015854,,024901001,,
0015855,,,,PRIN CONSTRUCT,0015855,,024901001,,
0015856,,,,CONSTR MGT 1,0015856,,024901001,,
0015857,,,,VNSG 1320,0015857,,024901001,,
0015858,,,,VNSG 1116 Nutri,0015858,,024901001,,
0015859,,,,VNSG 1133 Gro&D,0015859,,024901001,,
0015860,,,,INTRO ENG DSGN,0015860,,024901001,,
0015861,,,,WLDG1313,0015861,,024901001,,
0015862,,,,WLDG1317,0015862,,024901001,,
0015867,,,,CONTRUC TECH,0015867,,024901001,,
0015868,,,,Const. Tech 1,0015868,,024901001,,
0015870,,,,ACCOUNTING 1,0015870,,024901001,,
0015871,,,,FINANCIAL MATH,0015871,,024901001,,
0015900,,,,PHYSICS,0015900,,024901001,,
0015901,,,,ENGLISH 1,0015901,,024901001,,
0015902,,,,ENGLISH 2,0015902,,024901001,,
0015903,,,,ENGLISH 3,0015903,,024901001,,
0015904,,,,ENGLISH 4,0015904,,024901001,,
0015905,,,,ALGEBRA 1,0015905,,024901001,,
0015906,,,,GEOMETRY,0015906,,024901001,,
